config,group,detector,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_full_hybrid,AP50_delta_full_hybrid,AP75_delta_full_hybrid
support_confidence_high_50,block_5,target,gamma_s2,42.908491201478675,61.914203944420535,44.89002101715965,-0.14020511121030643,0.21802915719023597,-0.2561768397931208,-0.1880063531051024,-0.40690268444005806,-0.08859407660597451
support_confidence_high_50,block_5,target,contrast_s1,42.94075995891774,63.786986040243946,43.428268342079726,0.040195158465627934,0.06435615823454643,0.227172978491752,-0.058549414323999516,0.17403391043296912,-0.3809357009360137
support_confidence_high_50,block_5,target,contrast_s2,38.669742558736274,57.29360831404703,40.85567337789143,0.0839967474169645,0.12317125466907441,0.40207557744039724,0.10857059898491395,0.40361131917542314,0.31867632333797413
support_confidence_high_50,block_5,target,color_cast_s1,44.57769197407128,64.52692999007435,48.504842405327835,0.008048488124845488,0.06450195144610538,-0.15110726983783018,0.026855498915273612,0.005588981153969996,0.010054542689708068
support_confidence_high_50,block_5,target,color_cast_s2,43.392055207330756,62.326950698729824,46.6252138267734,0.059211464828917704,0.03918235073345766,-0.24294912678240466,-0.12984276673034256,-0.07699721636710288,-0.28957905717174603
support_confidence_high_50,block_5,target,clean_s0,45.46702408699861,65.84123117402746,49.29587554164833,-0.015864315558666853,0.0340374181470815,0.24644664777804248,-0.28599510516069127,-0.20060471609243402,-0.3241408744804053
support_confidence_high_50,block_5,ssd,gamma_s1,29.499520333073225,48.188197660549754,29.44296502676395,-0.2219696736799226,0.054416839682563944,-0.5806624692146323,-0.1475956052477856,-0.5325255463048351,0.36030327346947
support_confidence_high_50,block_5,ssd,gamma_s2,28.37721872059042,46.674077490108715,28.188566836178108,-0.2384704031480056,0.024317671673396157,-0.6466530757814781,0.005865703943364053,0.11276037052926347,0.08862740803414204
support_confidence_high_50,block_5,ssd,contrast_s1,30.541945764014027,49.63739813505105,31.726103324002963,0.0015476296913341514,0.0026860109388904263,-0.06163073422249532,-0.0002780555949044583,0.20206247456281412,0.04772675863707887
support_confidence_high_50,block_5,ssd,contrast_s2,28.261942667607915,45.79623247138906,27.18816678509458,0.1148734572540222,0.15515141695471302,0.018900706267649392,-0.2675802886126344,-0.31352539557517045,-0.155210643414333
support_confidence_high_50,block_5,ssd,color_cast_s1,29.171776860779,48.44647486947436,28.287525840009557,-0.018874837832033586,0.0418973968131231,-0.045189081348412374,-0.071499945395187,0.045965336387177036,-0.054677494912158675
support_confidence_high_50,block_5,ssd,color_cast_s2,28.653186946084524,47.172798069559995,28.79094124335885,0.018990799613993747,-0.023802090393293396,0.05339653815856771,-0.009432387873387071,0.024646098989111742,-0.02259917778421605
support_confidence_high_50,block_5,ssd,clean_s0,30.48285486845562,49.59777434219894,31.562994033994336,-0.0026319206365088554,-0.15659684017321207,0.11791840647673024,0.0751683671456338,0.23566277891671206,-0.016486624181910603
support_confidence_high_75,aggregate,source,gamma_s1,36.916292158412496,58.473101831630295,40.06547941170885,0.02315964943826465,0.013338141531238357,-0.1375140027512156,-0.20159738751103218,-0.16815906844832584,-0.31935903664721543
