group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_det_pseudo_clip_radius,AP50_delta_det_pseudo_clip_radius,AP75_delta_det_pseudo_clip_radius
aggregate,target,no_adapt,color_cast_s1,38.15204260897872,57.13586062471988,40.4166214062572,0.0,0.0,0.0,-0.03339859245776178,-0.08340192629622267,0.09095364130221051
aggregate,target,no_adapt,color_cast_s2,36.87347295866096,55.31322729159021,38.92313037963233,0.0,0.0,0.0,-0.0901307453078648,-0.06769347732002995,-0.11701179458906141
aggregate,target,no_adapt,clean_s0,39.31558777940498,58.770939829219515,41.72499973438719,0.0,0.0,0.0,-0.06094732073553821,-0.04005631834886891,-0.2474250223821861
aggregate,target,det_pseudo_clip_radius,gamma_s1,38.28265847422105,57.54842729720442,39.52552954208801,0.0899436906216855,0.05973562862927606,0.04109264742278018,0.0,0.0,0.0
aggregate,target,det_pseudo_clip_radius,gamma_s2,36.44873706875518,55.36721435866939,37.41981520476304,-0.10536047338832177,0.030258020635443028,-0.2508043549290073,0.0,0.0,0.0
aggregate,target,det_pseudo_clip_radius,contrast_s1,37.730386812666275,56.506051038707525,38.70842860840214,0.1182905722793004,-0.004267608553309987,0.28863641953503216,0.0,0.0,0.0
aggregate,target,det_pseudo_clip_radius,contrast_s2,33.29616645310452,50.40094403041496,33.97040771789904,0.1952265145748644,0.23286145333845099,0.37588368928889726,0.0,0.0,0.0
aggregate,target,det_pseudo_clip_radius,color_cast_s1,38.18544120143648,57.2192625510161,40.32566776495499,0.03339859245776178,0.08340192629622267,-0.09095364130221051,0.0,0.0,0.0
aggregate,target,det_pseudo_clip_radius,color_cast_s2,36.96360370396883,55.38092076891024,39.040142174221394,0.0901307453078648,0.06769347732002995,0.11701179458906141,0.0,0.0,0.0
aggregate,target,det_pseudo_clip_radius,clean_s0,39.37653510014052,58.81099614756838,41.97242475676938,0.06094732073553821,0.04005631834886891,0.2474250223821861,0.0,0.0,0.0
aggregate,target,det_pseudo_half_dose,gamma_s1,38.280905091915116,57.53408881092958,39.406344399825414,0.08819030831574426,0.04539714235444192,-0.0780924948398154,-0.0017533823059412423,-0.014338486274834139,-0.11918514226259558
aggregate,target,det_pseudo_half_dose,gamma_s2,36.500679288095334,55.32635626084244,37.58170919671709,-0.05341825404816536,-0.01060007719151379,-0.0889103629749588,0.051942219340156415,-0.04085809782695682,0.16189399195404852
aggregate,target,det_pseudo_half_dose,contrast_s1,37.71452161778021,56.52907171292784,38.7440839429661,0.10242537739322821,0.018753065666998747,0.32429175409899313,-0.015865194886072187,0.023020674220308734,0.03565533456396097
aggregate,target,det_pseudo_half_dose,contrast_s2,33.23649449056062,50.300942121674055,33.98587466035619,0.13555455203096423,0.13285954459754112,0.39135063174604023,-0.05967196254390017,-0.10000190874090986,0.015466942457142974
aggregate,target,det_pseudo_half_dose,color_cast_s1,38.19288014013734,57.210410354892446,40.427151585267936,0.040837531158621765,0.07454973017256838,0.0105301790107315,0.007438938700859987,-0.008852196123654288,0.10148382031294201
